STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: YES,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"12052 - CROPSEYVILLE","5","97","569",17,"66"
"12053 - DELANSON","23","393","1,637",24,"93"
"12054 - DELMAR","85","1,515","6,370",24,"93"
"12056 - DUANESBURG","18","350","922",38,"148"
"12057 - EAGLE BRIDGE","6","131","649",20,"79"
"12058 - EARLTON","5","81","440",18,"72"
"12059 - EAST BERNE","10","204","733",28,"108"
"12060 - EAST CHATHAM","10","155","565",27,"107"
"12061 - EAST GREENBUSH","32","667","3,402",20,"76"
"12062 - EAST NASSAU","10","212","674",32,"122"
"12063 - EAST SCHODACK","2","42","148",28,"110"
"12064 - EAST WORCESTER","6","28","159",18,"69"
"12065 - CLIFTON PARK","208","4,702","17,701",27,"103"
"12066 - ESPERANCE","7","117","759",15,"60"
"12067 - FEURA BUSH","12","205","725",28,"110"
"12068 - FONDA","26","419","1,313",32,"124"
"12070 - FORT JOHNSON","10","168","542",31,"121"
"12071 - FULTONHAM","3","49","127",39,"150"
"12072 - FULTONVILLE","15","273","1,009",27,"105"
"12074 - GALWAY","10","230","1,284",18,"70"
"12075 - GHENT","11","219","1,240",18,"69"
"12076 - GILBOA","9","132","531",25,"97"
"12077 - GLENMONT","25","484","2,254",22,"84"
"12078 - GLOVERSVILLE","122","2,094","9,768",21,"83"
"12083 - GREENVILLE","21","442","1,537",29,"112"
"12084 - GUILDERLAND","25","463","1,737",27,"104"
"12085 - GUILDERLAND CENTER","2","41","147",28,"109"
"12086 - HAGAMAN","5","94","674",14,"54"
"12087 - HANNACROIX","6","114","496",23,"89"
"12090 - HOOSICK FALLS","31","626","2,803",22,"87"
"12092 - HOWES CAVE","4","95","597",16,"62"
"12093 - JEFFERSON","18","221","735",30,"117"
"12094 - JOHNSONVILLE","12","230","965",24,"93"
"12095 - JOHNSTOWN","88","1,580","5,206",30,"118"
"12106 - KINDERHOOK","15","333","926",36,"140"
"12108 - LAKE PLEASANT","1","18","126",14,"56"
"12110 - LATHAM","108","2,154","7,896",27,"106"
"12115 - MALDEN BRIDGE","4","58","73",80,"309"
"12117 - MAYFIELD","18","321","1,210",27,"103"
"12118 - MECHANICVILLE","66","1,390","6,320",22,"86"
"12120 - MEDUSA","2","38","167",23,"89"
"12121 - MELROSE","9","147","709",21,"81"
"12122 - MIDDLEBURGH","21","393","1,995",20,"77"
"12123 - NASSAU","24","448","2,319",19,"75"
"12125 - NEW LEBANON","7","122","604",20,"79"
