STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: NO,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"12063 - EAST SCHODACK","5","106","148",72,"98"
"12064 - EAST WORCESTER","26","131","159",82,"112"
"12065 - CLIFTON PARK","570","12,693","17,701",72,"98"
"12066 - ESPERANCE","36","642","759",85,"115"
"12067 - FEURA BUSH","28","491","725",68,"92"
"12068 - FONDA","56","894","1,313",68,"93"
"12070 - FORT JOHNSON","23","357","542",66,"90"
"12071 - FULTONHAM","4","78","127",61,"84"
"12072 - FULTONVILLE","38","652","1,009",65,"88"
"12074 - GALWAY","46","1,054","1,284",82,"112"
"12075 - GHENT","59","1,021","1,240",82,"112"
"12076 - GILBOA","28","385","531",73,"99"
"12077 - GLENMONT","84","1,699","2,254",75,"103"
"12078 - GLOVERSVILLE","450","7,625","9,768",78,"107"
"12083 - GREENVILLE","56","1,077","1,537",70,"96"
"12084 - GUILDERLAND","66","1,243","1,737",72,"98"
"12085 - GUILDERLAND CENTER","7","106","147",72,"98"
"12086 - HAGAMAN","30","580","674",86,"117"
"12087 - HANNACROIX","20","337","496",68,"93"
"12090 - HOOSICK FALLS","99","2,153","2,803",77,"105"
"12092 - HOWES CAVE","28","502","597",84,"115"
"12093 - JEFFERSON","50","514","735",70,"95"
"12094 - JOHNSONVILLE","37","735","965",76,"104"
"12095 - JOHNSTOWN","217","3,579","5,206",69,"94"
"12106 - KINDERHOOK","26","577","926",62,"85"
"12108 - LAKE PLEASANT","10","108","126",86,"117"
"12110 - LATHAM","276","5,679","7,896",72,"98"
"12115 - MALDEN BRIDGE","1","15","73",21,"28"
"12117 - MAYFIELD","46","874","1,210",72,"99"
"12118 - MECHANICVILLE","231","4,905","6,320",78,"106"
"12120 - MEDUSA","9","129","167",77,"105"
"12121 - MELROSE","28","509","709",72,"98"
"12122 - MIDDLEBURGH","88","1,550","1,995",78,"106"
"12123 - NASSAU","93","1,818","2,319",78,"107"
"12125 - NEW LEBANON","24","437","604",72,"99"
"12130 - NIVERVILLE","13","245","299",82,"112"
"12131 - NORTH BLENHEIM","4","67","80",84,"114"
"12134 - NORTHVILLE","67","1,053","1,421",74,"101"
"12136 - OLD CHATHAM","18","266","366",73,"99"
"12137 - PATTERSONVILLE","30","522","681",77,"105"
"12138 - PETERSBURG","51","1,011","1,406",72,"98"
"12139 - PISECO","3","31","50",62,"85"
"12140 - POESTENKILL","23","467","626",75,"102"
"12143 - RAVENA","63","1,365","2,124",64,"88"
"12144 - RENSSELAER","307","6,185","8,443",73,"100"
"12147 - RENSSELAERVILLE","22","296","362",82,"112"
"12148 - REXFORD","57","1,409","1,888",75,"102"
"12149 - RICHMONDVILLE","38","571","806",71,"97"
"12150 - ROTTERDAM JUNCTION","11","218","353",62,"84"
"12151 - ROUND LAKE","16","354","488",73,"99"
"12153 - SAND LAKE","15","294","341",86,"118"
"12154 - SCHAGHTICOKE","40","786","1,051",75,"102"
"12156 - SCHODACK LANDING","13","272","384",71,"97"
"12157 - SCHOHARIE","70","1,235","1,711",72,"99"
"12158 - SELKIRK","112","2,163","2,788",78,"106"
"12159 - SLINGERLANDS","126","2,249","3,034",74,"101"
"12160 - SLOANSVILLE","20","353","420",84,"115"
"12164 - SPECULATOR","19","327","338",97,"132"
"12165 - SPENCERTOWN","8","114","138",83,"113"
"12166 - SPRAKERS","28","542","680",80,"109"
"12167 - STAMFORD","107","702","911",77,"105"
"12168 - STEPHENTOWN","27","550","733",75,"102"
"12169 - STEPHENTOWN","5","97","198",49,"67"
"12170 - STILLWATER","66","1,393","1,825",76,"104"
"12173 - STUYVESANT","29","575","767",75,"102"
"12175 - SUMMIT","19","332","393",85,"115"
"12176 - SURPRISE","10","200","220",91,"124"
"12180 - TROY","863","16,791","23,692",71,"97"
"12182 - TROY","269","4,787","6,550",73,"100"
"12183 - TROY","50","816","1,115",73,"100"
"12184 - VALATIE","114","2,133","2,643",81,"110"
"12185 - VALLEY FALLS","30","536","690",78,"106"
"12186 - VOORHEESVILLE","97","1,847","2,365",78,"107"
"12187 - WARNERVILLE","10","179","282",64,"87"
"12188 - WATERFORD","157","3,573","4,793",75,"102"
"12189 - WATERVLIET","293","5,603","7,853",71,"97"
"12190 - WELLS","14","192","298",64,"88"
"12192 - WEST COXSACKIE","38","671","892",75,"103"
"12193 - WESTERLO","31","627","769",82,"111"
